Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FL;FR;RL;RR
2017-04-17;12:06:52:8075;2038;4;0;510;77;629;519;226;
2017-04-17;12:06:52:8076;2048;4;0;510;77;629;520;226;
2017-04-17;12:06:52:8076;2058;4;0;512;75;629;520;227;
2017-04-17;12:06:52:8076;2068;4;0;513;76;629;520;227;
2017-04-17;12:06:52:8076;2078;4;0;514;75;629;520;226;
2017-04-17;12:06:52:8076;2088;4;0;515;76;629;520;227;
2017-04-17;12:06:52:8077;2098;4;0;514;77;629;520;226;
2017-04-17;12:06:52:8077;2108;4;0;515;76;629;520;226;
2017-04-17;12:06:52:8077;2118;4;0;520;77;629;520;226;
2017-04-17;12:06:52:8077;2128;4;0;526;76;629;520;226;
2017-04-17;12:06:52:8077;2138;4;0;528;75;629;520;226;
2017-04-17;12:06:52:8077;2148;4;0;527;76;629;520;226;
2017-04-17;12:06:52:8078;2158;4;0;525;77;629;520;226;
2017-04-17;12:06:52:8078;2168;5;0;523;77;629;520;226;
2017-04-17;12:06:52:8078;2178;5;0;521;75;630;520;226;
2017-04-17;12:06:52:8078;2188;5;0;520;75;629;519;226;
2017-04-17;12:06:52:8078;2198;5;0;519;77;629;520;226;
2017-04-17;12:06:52:8078;2208;4;0;516;77;629;519;226;
2017-04-17;12:06:52:8079;2219;4;0;511;76;629;519;226;
2017-04-17;12:06:52:8079;2229;4;0;506;76;629;520;226;
2017-04-17;12:06:52:8079;2239;4;0;503;76;629;519;226;
2017-04-17;12:06:52:8079;2249;5;0;500;77;629;519;226;
2017-04-17;12:06:52:8079;2259;4;0;499;77;629;519;226;
2017-04-17;12:06:52:8080;2269;4;0;500;78;629;519;227;
2017-04-17;12:06:52:8080;2279;4;0;504;77;630;519;226;
2017-04-17;12:06:52:8080;2289;4;0;505;77;630;519;226;
2017-04-17;12:06:52:8387;2299;4;0;508;76;629;519;226;
2017-04-17;12:06:52:8387;2309;4;0;510;76;629;520;226;
2017-04-17;12:06:52:8388;2319;4;0;513;76;629;520;226;
2017-04-17;12:06:52:8388;2329;4;0;516;76;630;520;226;
2017-04-17;12:06:52:8388;2339;4;0;517;75;629;519;226;
2017-04-17;12:06:52:8388;2349;4;0;518;76;629;519;226;
2017-04-17;12:06:52:8388;2359;4;0;519;76;629;519;226;
2017-04-17;12:06:52:8389;2369;4;0;521;77;629;519;226;
2017-04-17;12:06:52:8389;2379;4;0;523;77;629;519;226;
2017-04-17;12:06:52:8389;2390;4;0;524;77;629;519;226;
2017-04-17;12:06:52:8389;2400;4;0;524;76;629;519;226;
2017-04-17;12:06:52:8389;2410;4;0;524;76;629;519;226;
2017-04-17;12:06:52:8389;2420;4;0;522;77;629;519;226;
2017-04-17;12:06:52:8389;2430;4;0;519;76;630;519;226;
2017-04-17;12:06:52:8390;2440;4;0;517;75;630;519;226;
2017-04-17;12:06:52:8390;2450;4;0;516;75;630;519;226;
2017-04-17;12:06:52:8390;2460;4;0;514;75;630;519;226;
2017-04-17;12:06:52:8390;2470;4;0;514;76;630;519;225;
2017-04-17;12:06:52:8390;2480;4;0;514;75;630;519;226;
2017-04-17;12:06:52:8390;2490;4;0;514;75;630;519;226;
2017-04-17;12:06:52:8390;2500;4;0;516;75;630;519;226;
2017-04-17;12:06:52:8391;2510;4;0;518;74;630;519;226;
2017-04-17;12:06:52:8391;2520;4;0;518;77;630;519;226;
2017-04-17;12:06:52:8391;2530;5;0;520;77;630;519;226;
2017-04-17;12:06:52:8391;2540;5;0;522;76;630;519;226;
2017-04-17;12:06:52:8391;2550;5;0;520;76;630;519;226;
2017-04-17;12:06:52:8391;2560;5;0;518;75;630;519;226;
2017-04-17;12:06:52:8391;2570;5;0;517;74;631;519;226;
2017-04-17;12:06:52:8392;2580;5;0;515;74;630;519;226;
2017-04-17;12:06:52:8392;2590;5;0;515;74;631;519;227;
2017-04-17;12:06:52:8392;2600;5;0;515;73;630;519;226;
2017-04-17;12:06:52:8392;2610;4;0;514;76;631;519;226;
2017-04-17;12:06:52:8392;2620;4;0;512;76;630;519;226;
2017-04-17;12:06:52:8563;2630;4;0;511;76;631;519;226;
2017-04-17;12:06:52:8563;2640;5;0;512;74;630;519;226;
2017-04-17;12:06:52:8564;2650;4;0;511;74;631;519;226;
2017-04-17;12:06:52:8564;2660;4;0;511;75;631;519;226;
2017-04-17;12:06:52:8564;2670;4;0;512;75;631;519;226;
2017-04-17;12:06:52:8564;2680;4;0;513;75;631;519;226;
2017-04-17;12:06:52:8564;2690;4;0;512;73;630;519;226;
2017-04-17;12:06:52:8565;2700;4;0;509;75;631;519;226;
2017-04-17;12:06:52:8565;2710;4;0;509;74;631;519;227;
2017-04-17;12:06:52:8565;2720;4;0;516;74;631;519;226;
2017-04-17;12:06:52:8565;2731;4;0;523;71;630;519;226;
2017-04-17;12:06:52:8566;2741;4;0;527;72;631;519;226;
2017-04-17;12:06:52:8566;2751;4;0;527;71;631;519;226;
2017-04-17;12:06:52:8566;2761;4;0;524;71;631;519;226;
2017-04-17;12:06:52:8566;2771;4;0;517;72;631;519;226;
2017-04-17;12:06:52:8567;2781;4;0;514;74;631;519;226;
2017-04-17;12:06:52:8567;2791;4;0;511;72;631;519;226;
2017-04-17;12:06:52:8567;2801;4;0;508;73;631;519;226;
2017-04-17;12:06:52:8567;2811;4;0;507;73;631;519;226;
2017-04-17;12:06:52:8568;2821;4;0;507;73;631;520;226;
2017-04-17;12:06:52:8568;2831;4;0;508;72;631;520;227;
2017-04-17;12:06:52:8568;2841;5;0;508;72;631;520;226;
2017-04-17;12:06:52:8568;2851;4;0;507;72;631;520;226;
2017-04-17;12:06:52:8569;2861;5;0;507;72;631;520;226;
2017-04-17;12:06:52:8569;2871;4;0;508;74;631;520;226;
2017-04-17;12:06:52:8569;2881;4;0;508;74;631;520;226;
2017-04-17;12:06:52:8569;2891;4;0;508;75;631;520;226;
2017-04-17;12:06:52:8569;2902;4;0;509;74;631;520;226;
2017-04-17;12:06:52:8570;2912;4;0;511;75;631;520;227;
2017-04-17;12:06:52:8570;2922;4;0;514;75;631;521;227;
2017-04-17;12:06:52:8570;2932;4;0;515;76;631;521;227;
2017-04-17;12:06:52:8570;2942;5;0;515;74;631;521;227;
2017-04-17;12:06:52:8571;2952;4;0;515;73;631;521;227;
2017-04-17;12:06:52:8934;2962;4;0;514;72;631;521;227;
2017-04-17;12:06:52:8935;2972;4;0;513;74;631;522;226;
2017-04-17;12:06:52:8935;2982;4;0;512;74;631;522;226;
2017-04-17;12:06:52:8935;2992;4;0;512;73;631;522;227;
2017-04-17;12:06:52:8936;3002;5;0;512;72;631;522;227;
2017-04-17;12:06:52:8943;3012;5;0;511;72;631;522;227;
2017-04-17;12:06:52:8943;3022;5;0;509;72;631;522;227;
2017-04-17;12:06:52:8943;3032;5;0;507;73;631;522;227;
2017-04-17;12:06:52:8944;3042;5;0;505;77;631;522;226;
2017-04-17;12:06:52:8944;3052;5;0;505;75;631;522;226;
2017-04-17;12:06:52:8944;3062;5;0;507;77;631;522;226;
2017-04-17;12:06:52:8944;3072;5;0;508;77;631;522;226;
2017-04-17;12:06:52:8944;3082;5;0;510;75;631;522;226;
2017-04-17;12:06:52:8945;3092;4;0;513;73;631;522;226;
2017-04-17;12:06:52:8945;3102;5;0;515;76;631;522;226;
2017-04-17;12:06:52:8945;3112;5;0;518;75;631;522;227;
2017-04-17;12:06:52:8945;3122;5;0;521;75;631;522;226;
2017-04-17;12:06:52:8945;3132;5;0;521;74;631;522;226;
2017-04-17;12:06:52:8945;3142;5;0;523;74;631;522;226;
2017-04-17;12:06:52:8946;3152;5;0;523;74;631;522;227;
2017-04-17;12:06:52:8946;3162;5;0;523;74;631;522;227;
2017-04-17;12:06:52:8946;3172;5;0;519;75;631;522;227;
2017-04-17;12:06:52:8946;3182;5;0;517;75;631;522;227;
2017-04-17;12:06:52:8946;3192;5;0;513;74;631;522;227;
2017-04-17;12:06:52:8947;3202;5;0;511;73;631;522;227;
2017-04-17;12:06:52:8947;3212;4;0;509;73;631;522;227;
2017-04-17;12:06:52:8947;3222;4;0;508;73;631;522;227;
2017-04-17;12:06:52:8947;3232;4;0;508;75;631;522;227;
2017-04-17;12:06:52:8947;3243;4;0;509;73;631;522;227;
2017-04-17;12:06:52:8947;3253;4;0;511;74;631;522;227;
2017-04-17;12:06:52:8948;3263;5;0;512;74;631;522;227;
2017-04-17;12:06:52:8948;3273;4;0;516;77;631;522;227;
2017-04-17;12:06:52:8948;3283;5;0;518;76;631;522;227;
2017-04-17;12:06:52:9264;3293;5;0;518;77;631;522;227;
2017-04-17;12:06:52:9264;3303;5;0;518;74;631;522;227;
2017-04-17;12:06:52:9264;3313;4;0;519;74;631;522;227;
2017-04-17;12:06:52:9264;3323;5;0;522;75;631;522;227;
2017-04-17;12:06:52:9265;3333;5;0;524;76;631;522;227;
2017-04-17;12:06:52:9265;3343;5;0;528;76;631;522;227;
2017-04-17;12:06:52:9265;3353;5;0;532;76;631;522;227;
2017-04-17;12:06:52:9265;3363;5;0;536;75;632;522;227;
2017-04-17;12:06:52:9265;3373;5;0;541;75;631;523;227;
2017-04-17;12:06:52:9265;3383;5;0;544;72;631;522;227;
2017-04-17;12:06:52:9265;3393;4;0;545;72;631;523;227;
2017-04-17;12:06:52:9266;3403;5;0;546;73;631;523;227;
2017-04-17;12:06:52:9266;3414;4;0;548;74;631;523;227;
